"","LHS","RHS","lift","support","confidence","coverage","count","oddsRatio","addVal","fisher.padj_holm","OR_lowerCI","kappa","fisher.p","Cat"
"1","cebq26=Sometimes","loc1=No",1.19047619047619,0.357142857142857,0.714285714285714,0.5,25,2.64705882352941,0.114285714285714,0.174,0.985016781667935,0.228571428571429,0.043428562035197,"sSR"
"2","cebq30_gRarely","loc1=No",1.18421052631579,0.385714285714286,0.710526315789474,0.542857142857143,27,2.78181818181818,0.110526315789474,0.174,1.03706284247377,0.244186046511628,0.0347993624984191,"gR_SR"
"3","cebq30=Sometimes","loc1=No",1.26436781609195,0.314285714285714,0.758620689655172,0.414285714285714,22,3.3,0.158620689655172,0.1211,1.15703608119706,0.25414364640884,0.0201792878982623,"sSR"
"4","cebq6_gRarely","loc1=No",1.10062893081761,0.5,0.660377358490566,0.757142857142857,35,2.77777777777778,0.060377358490566,0.174,0.905628355832024,0.203821656050955,0.0631196452645617,"gR_DD"
"5","cebq7=Sometimes","loc1=No",1.31944444444444,0.271428571428571,0.791666666666667,0.342857142857143,19,3.8,0.191666666666667,0.1125,1.21267295699574,0.247311827956989,0.0160747630946106,"sFF"
"6","cebq8=Sometimes","loc1=No",1.19047619047619,0.357142857142857,0.714285714285714,0.5,25,2.64705882352941,0.114285714285714,0.174,0.985016781667935,0.228571428571429,0.043428562035197,"sSE"
"7","cfq6=Avg","loc1=No",1.16666666666667,0.4,0.7,0.571428571428572,28,2.66666666666667,0.1,0.174,0.99502559176458,0.235294117647059,0.0422045351767067,"PPW_UW"
