"LHS2","LHS1","RHS","count","support","confidence","coverage","lift","addVal","kappa","oddsRatio","OR_lowerCI","OR_upperCI","fisher.p","fisher.padj_holm","Cluster_gupta8","Cat1","Cat2"
"cebq6_gRarely","cebq7=Sometimes","loc1=No",15,0.214285714285714,1,0.214285714285714,1.66666666666667,0.4,0.307692307692308,NA,NA,Inf,0.000136763781272432,0.0351,1,"sFF","gR_DD"
"cebq26=Sometimes","cebq15=Rarely","loc1=No",16,0.228571428571429,0.941176470588235,0.242857142857143,1.56862745098039,0.341176470588235,0.300518134715026,16.6153846153846,2.05332316240467,134.450831204695,0.000624140165443276,0.1598,2,"lsEOE","sSR"
"cebq26=Sometimes","cebq2=Rarely","loc1=No",15,0.214285714285714,0.9375,0.228571428571429,1.5625,0.3375,0.278350515463918,15,1.84903352227545,121.685192447518,0.00118114174735281,0.3012,2,"lsEOE","sSR"
"cebq26_gRarely","cebq15=Rarely","loc1=No",17,0.242857142857143,0.894736842105263,0.271428571428571,1.49122807017544,0.294736842105263,0.293193717277487,8.84,1.84894684325424,42.2649251843604,0.00167935601607733,0.4266,2,"lsEOE","gR_SR"
"cfq6=Avg","cebq17=Sometimes","loc1=No",14,0.2,0.933333333333333,0.214285714285714,1.55555555555556,0.333333333333333,0.256410256410256,13.5,1.65889103074916,109.862550717207,0.00218822050035891,0.5536,3,"sSR","PPW_UW"
"cfq6=Avg","cfq5=Avg","loc1=No",24,0.342857142857143,0.8,0.428571428571429,1.33333333333333,0.2,0.333333333333333,4.88888888888889,1.64351870656991,14.5427213407166,0.00292754991598405,0.7377,3,"PPW_avg","PPW_UW"
"cebq2_lsSometimes","cebq7=Sometimes","loc1=No",16,0.228571428571429,0.888888888888889,0.257142857142857,1.48148148148148,0.288888888888889,0.270833333333333,8,1.66887280553433,38.3492377536279,0.00303606210974966,0.7621,1,"sFF","lsS_EOE"
"cebq6_gRarely","cebq26=Sometimes","loc1=No",22,0.314285714285714,0.814814814814815,0.385714285714286,1.35802469135802,0.214814814814815,0.316939890710383,5.06,1.61655111616644,15.8384103935528,0.00334474019195884,0.8362,2,"sSR","gR_DD"
"cebq26_gRarely","cebq6_gRarely","loc1=No",27,0.385714285714286,0.771428571428571,0.5,1.28571428571429,0.171428571428571,0.342857142857143,4.5,1.59894884632939,12.6645702559445,0.00338781403610593,0.8436,4,"gR_DD","gR_SR"
"cebq31_gRarely","cebq26_gRarely","loc1=No",20,0.285714285714286,0.833333333333333,0.342857142857143,1.38888888888889,0.233333333333333,0.301075268817204,5.45454545454545,1.6111619135226,18.4662173714455,0.00355994213959795,0.8829,2,"gR_SR","gR_DD"
