"LHS","RHS","count","support","confidence","coverage","lift","addVal","kappa","oddsRatio","OR_lowerCI","OR_upperCI","fisher.p","fisher.padj_holm","Cat"
"cebq12_gRarely","loc1=Yes",20,0.126582278481013,0.363636363636364,0.348101265822785,1.55282555282555,0.12945914844649,0.214981845977451,2.89075630252101,1.3564757295079,6.16042868942187,0.00504099755947464,0.0353,"gR_FR"
"cebq33_gSometimes","loc1=Yes",17,0.107594936708861,0.377777777777778,0.284810126582278,1.61321321321321,0.143600562587904,0.212133804280075,2.82321428571429,1.30408350469704,6.11198506411051,0.00764244848730865,0.0353,"gS_FF"
"cebq34_gRarely","loc1=Yes",16,0.10126582278481,0.457142857142857,0.221518987341772,1.95212355212355,0.222965641952984,0.280673799226041,4.09022556390977,1.81198382412186,9.23294399262581,0.000772389461777914,0.007,"gR_FR"
"cebq7_gSometimes","loc1=Yes",17,0.107594936708861,0.386363636363636,0.278481012658228,1.64987714987715,0.152186421173763,0.221756445189688,2.95925925925926,1.36283108293949,6.42575259189363,0.00565644318814453,0.0353,"gS_FF"
"cfq20=Agree","loc1=Yes",19,0.120253164556962,0.365384615384615,0.329113924050633,1.56029106029106,0.131207400194742,0.211082827491678,2.81481481481481,1.3180610598872,6.01124081639966,0.00646778541802745,0.0353,"gRest"
"cfq23_lsNeutralAD","loc1=Yes",15,0.0949367088607595,0.428571428571429,0.221518987341772,1.83011583011583,0.194394213381555,0.244707489187344,3.44318181818182,1.5272596148408,7.76259708425121,0.0030107905901864,0.0241,"lsN_Rest"
"cfq26=Disagree","loc1=Yes",28,0.177215189873418,0.4,0.443037974683544,1.70810810810811,0.165822784810127,0.312809142077435,5.85185185185185,2.52850516643357,13.5432470341055,1.14058164224801e-05,1e-04,"lsPE"
"cfq28=Disagree","loc1=Yes",26,0.164556962025316,0.361111111111111,0.455696202531646,1.54204204204204,0.126933895921238,0.242811501597444,3.85375494071146,1.74061229320172,8.53230050199172,0.00053101515378843,0.0053,"lsPE"
"cfq29=Always","loc1=Yes",15,0.0949367088607595,0.394736842105263,0.240506329113924,1.68563300142248,0.16055962691539,0.213321531312237,2.90513833992095,1.30785573287201,6.45318024148202,0.00840238769548291,0.0353,"gMon"
"cfq31=Always","loc1=Yes",11,0.069620253164557,0.44,0.158227848101266,1.87891891891892,0.205822784810127,0.20463126101183,3.23351648351648,1.31662991813452,7.94120557733257,0.0109522909818328,0.0353,"gMon"
"mEducation_HS","loc1=Yes",10,0.0632911392405063,0.476190476190476,0.132911392405063,2.03346203346203,0.242013261000603,0.211038107752957,3.7037037037037,1.42629319676296,9.6175324652469,0.00798028739416281,0.0353,"mEducation_HS"
